[START] STEP4
[INPUT] PDBs=1165
[ALIGNED] 4u6x: 4u6x_aligned.pdb
[ALIGNED] 4u6y: 4u6y_aligned.pdb
[ALIGNED] 4uq2: 4uq2_aligned.pdb
[ALIGNED] 4uq3: 4uq3_aligned.pdb
[ALIGNED] 4v3d: 4v3d_aligned.pdb
[ALIGNED] 4v3e: 4v3e_aligned.pdb
[ALIGNED] 4wj5: 4wj5_aligned.pdb
[ALIGNED] 4wo4: 4wo4_aligned.pdb
[ALIGNED] 4wu5: 4wu5_aligned.pdb
[ALIGNED] 4wu7: 4wu7_aligned.pdb
[ALIGNED] 4wuu: 4wuu_aligned.pdb
[ALIGNED] 4ww2: 4ww2_aligned.pdb
[ALIGNED] 4wwk: 4wwk_aligned.pdb
[ALIGNED] 4x6c: 4x6c_aligned.pdb
[ALIGNED] 4x6d: 4x6d_aligned.pdb
[ALIGNED] 4x6e: 4x6e_aligned.pdb
[ALIGNED] 4x6f: 4x6f_aligned.pdb
[ALIGNED] 4xxc: 4xxc_aligned.pdb
[ALIGNED] 5b38: 5b38_aligned.pdb
[ALIGNED] 5b39: 5b39_aligned.pdb
[ALIGNED] 5bjt: 5bjt_aligned.pdb
[ALIGNED] 5brz: 5brz_aligned.pdb
[ALIGNED] 5bs0: 5bs0_aligned.pdb
[ALIGNED] 5bxf: 5bxf_aligned.pdb
[ALIGNED] 5c07: 5c07_aligned.pdb
[ALIGNED] 5c08: 5c08_aligned.pdb
[ALIGNED] 5c09: 5c09_aligned.pdb
[ALIGNED] 5c0a: 5c0a_aligned.pdb
